source_doc,element,index,text
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37319,d18pcgday | 88 | don't know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37352,d18bedday | 1 | rarely or never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37360,d18diday1 | 1 | rarely or never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37366,d18diday2 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37368,d18diday3 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37520,7 | eye and appendage diseases
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37647,d18batday1 | 0 | never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37653,d18batday2 | 0 | never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37666,d18dreday1 | 0 | never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37672,d18dreday2 | 0 | never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37685,d18toiday1 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37687,d18toiday2 | 0 | never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37700,d18movday1 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37702,d18movday2 | 0 | never
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37715,d18conday1 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37717,d18conday2 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37726,d18feeday1 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37728,d18feeday2 | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37754,d18actday | 8888 | do not know
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37757,d18smoke | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37773,d18drink | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37804,d18dirday | -9 | lost to follow-up in the 2018 survey
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37835,d18uncday | -9 | lost to follow-up in the 2018 survey
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37850,2 | during childhood (before the age of 15)
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37852,4 | between the ages of 40 and 60
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37853,5 | after the age of 60
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37864,d18qc1 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37871,d18qc2 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37878,d18qc3 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37885,d18qc4 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37892,d18qc5 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37899,d18qc6 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37906,d18qc7 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37913,d18qc8 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37920,d18qc9 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37927,d18qc10 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37934,d18qc11 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37941,d18qc12 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37948,d18q13 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37955,d18q14 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37962,d18q15 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_1998_2018_longitudinal_dataset.docx,table_2_row,37969,d18q16 | 1 | almost everyday
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,1,"Specification of the coding system for the CLHLS 2000-2018 longitudinal dataset (including the 2000 baseline survey, 2002, 2005, 2008, 2011, 2014, and 2018 follow-up surveys of both survivors and deceased persons)"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,5,"This dataset is derived from the first six waves (1998, 2000, 2002, 2005, 2008, 2011, 2014, and 2018) of the Chinese Longitudinal Healthy Longevity Survey (CLHLS). The CLHLS covers 23 out of 31 provinces in China. This dataset consists of thirteen components. The first component contains all the information collected in the 1998 baseline survey for 11,199 respondents. The second component contains information collected in the 2002 survey for 6,315 respondents who were re-interviewed in the 2002 survey. The third component includes information collected from the next-of-kin of 3,343 deceased persons who were first interviewed in 2000 but had died before the 2002 follow-up survey. The fourth component is for 2,628 respondents who were first interviewed in 2000 and re-interviewed in 2002 and 2005. The fifth component includes information obtained from the next-of-kin of 2,963 respondents who were first interviewed in 2000, survived at 2002 survey but died before 2005 survey. The sixth component is for the information collected in the 2008 survey for 950 respondents who were re-interviewed in 2002, 2005, and 2008. The seventh component contains information collected from the next-of-kin of 1,174 respondents who were interviewed in all previous three waves but died before the 2008 wave. The eighth component is for the information collected in the 2011 survey for 363 respondents who were re-interviewed in 2002, 2005, 2008, and 2011. The ninth component contains information collected from the next-of-kin of 458 respondents who were interviewed in 2002, survived at 2005, and 2008 survey but died before 20011 survey. The tenth component is for the information collected in the 2014 survey for 143 respondents who were re-interviewed in 2002, 2005, 2008, 2011, 2014, and 2018. The 11th component contains information collected from the next-of-kin of 201 respondents who were interviewed in all previous five waves but died before the 2014 wave. The 12th component contains information collected in the 2018 survey for 30 respondents who were interviewed in 2018. The 13th component includes information collected from the next-of-kin of 68 deceased persons who were interviewed in 2014 but had died before the 2018 follow-up survey. Out of 11,199 total respondents who were interviewed in 2000, there were 1,541 respondents lost to follow-up in the 2002 survey, 724 respondents lost to follow-up in the 2005 survey, 505 respondents lost to follow in the 2008 survey, 129 respondents lost to follow in the 2011 survey, 19 respondents lost to follow in the 2014 survey, and 45 respondents lost to follow in the 2018 survey. This dataset is called the 2000-2018 longitudinal dataset. It presents both static and eighteen-year interval dynamic information for the respondents who were first interviewed in 2000."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,6,"2. Variables and the coding system in this data set are based on questions in the individual questionnaire in the 2000 baseline survey, questions not in shaded boxes in the individual questionnaire in the 2002, 2005, 2008, 2011, 2014, and 2018 follow-up surveys, and questions in the questionnaire for the deceased person in the 2002, 2005, 2008, 2011, 2014, and 2018 follow-up surveys. The names of variables and the code system in this dataset, however, are not necessarily all the same as those in the corresponding questionnaires. Some are slightly different. Please use this coding system when performing analysis, and regard the questionnaire as a basic reference."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,8,"4. Most of variables are treated as ‘Numeric’ ones in this dataset, while some of them are treated as ‘string’ ones. Variables such as age, year, month, number of persons, and number of days are treated as ‘Scale’ type. Most of the remaining variables are treated as ‘Nominal’ ones including ‘yes’ or ‘no’ binomial questions. Variables in Part B, variables related to ADL, IADL functioning capacity in Part E, and some variables in Part D in the surviving individual questionnaires are treated as ‘Ordinal’ ones. ADL functioning before dying for the deceased persons are also treated as ‘Ordinal’ variables. More detailed information could be found in the ‘measurement level’ in the coding system."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,10,"6. Variables with names ‘_2’, ‘_5’, ‘_8’, ‘_11’, ‘_14’, and ‘_18’ as their suffix are for those who were still alive and re-interviewed in 2002, 2005, 2008, 2011, 2014, and 2018 respectively, while variables with names ‘d2’, ‘d5’, ‘d8’, ‘d11’, ‘d14’, and ‘d18’ as their prefix are variables for those deceased respondents who died in the survey intervals 2000-2002, 2002-2005, 2005-2008, 2008-2011, 2011-2014, and 2014-2018, respectively."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,11,"7. ‘-6’ is used to indicate that the variable is used for surviving persons ONLY and is NOT applicable to the deceased persons. ‘-7’ is used to indicate that the variable is used for the deceased persons ONLY and is NOT applicable to the surviving respondents. ‘-8’ is used to indicate that the respondents were dead or lost to follow-up in an earlier wave, and ‘-9’ is used to define lost to follow-up. ‘–1’ is used in this dataset to indicate a situation in which the question is NOT applicable to the respondent. ‘9’, ‘99’, ‘999’, and ‘9999’ are usually used to represent missing information in different variables, while ‘8’, ‘88’, ‘888’, and ‘8888’ in most cases (but NOT all cases) are used to indicate situations in which the respondent didn’t know the answers to the questions. The missing values indicated by ‘8’, ‘88’, ‘888’, ‘8888’, ‘9’, ‘99’, ‘999’, and ‘9999’ need to be imputed by the user before doing the analysis, especially when the proportion of ‘missing’ or ‘don’t know’ is larger than 5%. Data sets with imputed values to replace the missing data are not currently available."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,12,"8. Seven variables in this dataset are non-survey variables. Six of them (dth00_02, dth02_05, dth05_08, dth08_11, dth11_14, and dth14_18) indicate survival status in 2002, 2005, 2008, 2011, 2014, and 2018 surveys (i.e., surviving, dead, lost to follow-up). The seventh variable is “w_2000” (see Note 11)."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,14,"10. Attention should be given to time-varying variables. The information gathered in the 1998 baseline survey (e.g., number of marriages, information about the last marriage) is subject to change."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,15,"11. The weight variable “w_2000” is estimated based on the numbers of oldest old persons by age, sex, and rural/urban residence in 2000 from 2000 census 100% data tabulations for the 22 provinces where the 2000 survey was conducted. The total number of the weighted individual cases of the survey is equal to the total sample size. However, the numbers of the weighted individual cases for the age-sex-residence-specific groups may not be exactly the same as the actual sub-sample size of the corresponding groups. Thus, SPSS, SAS, STATA (or other software) would not produce correct p-values for testing the statistical significance of the differences of the average proportions across different age-sex-reference groups, since the sub-sample size of the sub-groups may be altered after weighting the individual cases. Therefore, the weights need to be appropriately adjusted to ensure that the sub-sample size within each sub-group after weighting is exactly the same as the true sub-sample size for the cross sub-groups comparisons by using statistical significance tests. Such adjusted weights are available upon request. Please refer to Zeng and Vaupel et al. (2001: Appendix A) for details on how the weights and the adjusted weights are computed. Weight is not applied to those respondents aged less than 80 or more than 106 at their first interviews."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,16,"12. The eligible respondents of this dataset are those people aged 80 and over. There are a very few respondents in this data set whose age was less than 80 at the baseline survey, however. It’s recommended to exclude the respondents who were less than 80 years old if the analysis is focused on the oldest old since they had not reached the oldest old age (80+) at the survey time."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,29,"Gu, D., and Dupre, M.E. (2008). Assessment of Reliability of Mortality and Morbidity in the 1998-2002 CLHLS Waves. In Y. Zeng, D. L. Poston, D.A. Vlosky, and D. Gu (eds.). Healthy Longevity in China: Demographic, Socioeconomic, and Psychological Dimensions. Pp 99-115. Dordrecht, The Netherlands: Springer Publisher."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,30,"Zeng, Y., and Gu, D. (2008). Reliability of Age Reporting among the Chinese Oldest-old in the CLHLS Datasets. In Y. Zeng, D. L. Poston, D.A. Vlosky, and D. Gu (eds.). Healthy Longevity in China: Demographic, Socioeconomic, and Psychological Dimensions. Pp 61-78.Dordrecht, The Netherlands: Springer Publisher."
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,paragraph,34,of both survivors and deceased persons)
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,2,id | 1 | id= province code +given no. + year of the wave of the very first interview | Scale | F12
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,3,month00 | 2 | month of the interview in 2000 | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,4,day00 | 3 | day of the interview in 2000 | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,5,v_bthyr | 4 | validated birth year | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,6,v_bthmon | 5 | validated birth month | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,12,trueage | 11 | validated age based on 2000 survey information | Scale | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,21,a43 | 20 | was the place of birth an urban area or a rural area at time of birth | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,28,a53a2 | 27 | age of 1st person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,32,a53b2 | 31 | age of 2nd person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,36,a53c2 | 35 | age of 3rd person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,40,a53d2 | 39 | age of 4th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,44,a53e2 | 43 | age of 5th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,48,a53f2 | 47 | age of 6th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,52,a53g2 | 51 | age of 7th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,56,a53h2 | 55 | age of 8th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,60,a53i2 | 59 | age of 9th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,64,a53j2 | 63 | age of 10th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,68,a53k2 | 67 | age of 11th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,72,a53l2 | 71 | age of 12th person you living with currently | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,75,a54a | 74 | year of being admitted to the nursing home | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,76,a54b | 75 | month of being admitted to the nursing home | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,84,b26 | 83 | feel useless with age | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,86,c11 | 85 | what time of day is it right now? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,87,c12 | 86 | what month is it right now? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,88,c13 | 87 | what is the date of the mid-autumn festival? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,116,"d2 | 115 | amount of staple food per day (liang,1 liang=50g) | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,122,d4meat1 | 121 | how often ate meat at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,125,d4fish1 | 124 | how often ate fish at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,128,d4egg1 | 127 | how often ate eggs at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,131,d4bean1 | 130 | how often ate food made from bean at around age 60? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,134,d4veg1 | 133 | how often ate salt-preserved vegetables at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,137,d4suga1 | 136 | how often ate sugar at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,140,d4tea1 | 139 | how often drank tea at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,143,d4garl1 | 142 | how often ate garlic at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,149,d6b | 148 | water you drank at around age 60 was from | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,156,d73 | 155 | age when starting to smoke | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,158,d74 | 157 | age when quitting smoking if not smoke at present | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,160,d75 | 159 | times smoke (or smoked) per day | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,166,d83 | 165 | age when starting to drink | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,168,d84 | 167 | age when quitting drinking if not drink at present | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,172,d86 | 171 | how much per day if drink( or drank)? | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,178,d93 | 177 | age when starting to exercise | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,180,d94 | 179 | age when quitting exercising if not exercise at present | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,184,d102 | 183 | age when starting to do physical labor | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,186,d103 | 185 | age when stopping doing physical labor | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,216,f1 | 215 | years of schooling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,218,f2 | 217 | main occupation before age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,231,f43a1 | 230 | age at the 1st marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,232,f43a2 | 231 | current status of the 1st marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,233,f43a3 | 232 | age at the 1st marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,234,f43a4 | 233 | quality of the 1st marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,236,f43b1 | 235 | age at the 2nd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,237,f43b2 | 236 | current status of the 2nd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,238,f43b3 | 237 | age at the 2nd marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,239,f43b4 | 238 | quality of the 2nd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,241,f43c1 | 240 | age at the 3rd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,242,f43c2 | 241 | current status of the 3rd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,243,f43c3 | 242 | age at the 3rd marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,244,f43c4 | 243 | quality of the 3rd marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,246,f43d1 | 245 | age at the latest marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,247,f43d2 | 246 | current status of the latest marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,248,f43d3 | 247 | age at the latest marriage dissolution | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,249,f43d4 | 248 | quality of the latest marriage | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,251,f44 | 250 | years of schooling of the latest spouse | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,253,f45 | 252 | main occupation of the latest spouse before age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,259,f62 | 258 | got adequate medical service at around age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,271,f72 | 270 | mother's age if alive or mother's age at death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,273,f73 | 272 | respondent's age at mother's death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,277,f82 | 276 | father's age if alive or father's age at death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,279,f83 | 278 | respondent's age at father's death | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,281,f84 | 280 | father's main occupation before age 60 | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,285,f91 | 284 | birth order of respondent | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,287,f92a1 | 286 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,290,"f92a4 | 289 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,294,f92b1 | 293 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,297,"f92b4 | 296 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,301,f92c1 | 300 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,304,"f92c4 | 303 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,308,f92d1 | 307 | birth order of the sibling | Ordinal | F8
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,311,"f92d4 | 310 | sibling's age at present if alive, or age at death if died | Ordinal | F8"
CLHLS/CLHLS_codebook 1998-2018/codebook_for_2000_2018_longitudinal_dataset.docx,table_1_row,315,f92e1 | 314 | birth order of the sibling | Ordinal | F8
